Month,Year,TotalAttendances,MajorAE_Attendances,SingleSpecialty_Attendances,MinorInjuryUnit_Attendances,TotalAdmissions,Breach12hr,PercentWithin4hrs,MajorInjuryPerformancePct,SingleSpecialityPerformancePct,MinorInjuryPerformancePct,AdmissionRate,Breach12hrRate,MajorAE_SharePct,SingleSpecialty_SharePct,MinorInjuryUnit_SharePct,Season,SeasonalBaselineAvg,RiskFlag,MonthSin,MonthCos,MajorShare_x_Winter,Attendances_Lag1,Attendances_RollingMean3
2010-08-01,2010,1752381.0,1138652.0,54371.0,559358.0,425702.0,1.0,,,,,24.29,0.0,64.98,3.1,31.92,Summer,,N/A - not enough prior years yet,-0.8660254037844385,-0.5000000000000004,0.0,,
2010-09-01,2010,1756268.0,1150728.0,55181.0,550359.0,424900.0,0.0,,,,,24.19,0.0,65.52,3.14,31.34,Autumn,,N/A - not enough prior years yet,-1.0,-1.8369701987210297e-16,0.0,1752381.0,
2010-10-01,2010,1801348.0,1163143.0,54961.0,583244.0,436215.0,0.0,,,,,24.22,0.0,64.57,3.05,32.38,Autumn,,N/A - not enough prior years yet,-0.8660254037844386,0.5000000000000001,0.0,1756268.0,1769999.0
2010-11-01,2010,1651027.4285714284,1111294.5714285714,53727.42857142859,486005.42857142846,429099.0000000002,1.9999999999999996,97.2,95.9,99.7,99.9,25.99,0.0,67.31,3.25,29.44,Autumn,,N/A - not enough prior years yet,-0.5000000000000004,0.8660254037844384,0.0,1801348.0,1736214.476190476
2010-12-01,2010,1737741.1428571432,1159203.8571428563,45536.428571428565,533000.8571428574,452728.7142857142,14.999999999999996,94.8,92.4,99.7,99.8,26.05,0.001,66.71,2.62,30.67,Winter,,N/A - not enough prior years yet,-2.4492935982947064e-16,1.0,66.71,1651027.4285714284,1730038.8571428573
2011-01-01,2011,1727796.7142857143,1133880.571428571,51584.857142857145,542331.2857142857,442003.71428571444,17.28571428571428,95.8,93.7,99.7,99.9,25.58,0.001,65.63,2.99,31.39,Winter,,N/A - not enough prior years yet,0.49999999999999994,0.8660254037844387,65.63,1737741.1428571432,1705521.761904762
2011-02-01,2011,1599364.000000001,1053707.1428571425,51249.285714285725,494407.57142857113,401206.4285714287,2.7142857142857135,97.1,95.6,99.8,99.9,25.09,0.0,65.88,3.2,30.91,Winter,,N/A - not enough prior years yet,0.8660254037844386,0.5000000000000001,65.88,1727796.7142857143,1688300.6190476194
2011-03-01,2011,1863441.0,1225221.9999999993,57900.428571428565,580318.5714285714,446845.5714285715,0.5714285714285714,96.8,95.3,99.6,99.9,23.98,0.0,65.75,3.11,31.14,Spring,,N/A - not enough prior years yet,1.0,6.123233995736766e-17,0.0,1599364.000000001,1730200.5714285716
2011-04-01,2011,1844374.8571428566,1197212.7142857148,54042.42857142857,593119.7142857146,419243.2857142858,6.428571428571429,96.9,95.3,99.5,99.9,22.73,0.0,64.91,2.93,32.16,Spring,,N/A - not enough prior years yet,0.8660254037844387,-0.4999999999999998,0.0,1863441.0,1769059.9523809524
2011-05-01,2011,1873695.142857144,1221687.4285714289,57066.99999999999,594940.7142857144,427276.5714285713,2.5714285714285707,97.1,95.6,99.3,99.9,22.8,0.0,65.2,3.05,31.75,Spring,,N/A - not enough prior years yet,0.49999999999999994,-0.8660254037844387,0.0,1844374.8571428566,1860503.6666666667
